 facilidade 1.0
representante eleito 2.0
formulação meta 1.0
meta legislador 1.0
legislador analisar 1.0
analisar responder 1.0
responder periodicamente 1.0
periodicamente número 1.0
número mínimo 3.0
mínimo consulto 1.0
popular sentido 1.0
sentido político 1.0
público dotação 1.0
dotação orçamentário 1.0
orçamentário área 1.0
área ação 1.0
ação social 1.0
social proposto 1.0
proposto lei 1.0
estada escutar 1.0
escutar pessoa 1.0
pessoa querer 1.0
querer precisar 1.0
precisar através 1.0
através pessoa 1.0
pessoa conviver 1.0
conviver esfera 1.0
esfera municipal 1.0
municipal levar 1.0
levar demanda 1.0
demanda esfera 1.0
esfera estadual 1.0
estadual propor 1.0
propor nivel 1.0
nivel federal 1.0
máquina federal 1.0
federal deve 1.0
deve enxugar 1.0
enxugar estadual 1.0
estadual igual 1.0
igual proporção 1.0
proporção municipal 1.0
municipal fortalecido 1.0
fortalecido político 1.0
político estadual 1.0
estadual federal 2.0
federal dever 1.0
dever interagir 1.0
interagir ferramenta 1.0
ferramenta análise 1.0
análise instituto 1.0
instituto pesquisa 1.0
pesquisa sério 1.0
sério aparelhado 1.0
aparelhado politicamente 1.0
politicamente correto 1.0
aplicativo celular 1.0
celular coletar 1.0
coletar opinião 1.0
opinião ideia 1.0
ideia internet 1.0
internet político 1.0
político eleito 1.0
eleito representar 1.0
representar povo 1.0
povo noção 1.0
noção dever 1.0
dever consequencias 1.0
consequencias poder 1.0
poder conferido 1.0
conferido proteger 1.0
proteger interesse 1.0
interesse povo 1.0
povo tempo 1.0
tempo pensar 1.0
pensar argumento 1.0
argumento jurídico 1.0
jurídico lei 1.0
lei dar 1.0
dar nó 1.0
nó cabeça 1.0
cabeça jurista 1.0
jurista renomado 1.0
povo trabalhar 1.0
trabalhar pagar 1.0
pagar conta 1.0
conta imposto 1.0
político responsabilidade 1.0
responsabilidade seriedade 1.0
seriedade saber 1.0
saber povo 1.0
ficar dúvida 1.0
dúvida telefonar 1.0
telefonar manda 1.0
manda email 1.0
email facebook 1.0
facebook blog 1.0
blog whatsup 1.0
whatsup festa 1.0
festa igreja 1.0
igreja milhão 1.0
milhão forma 1.0
político poder 2.0
poder criar 2.0
criar comitiva 1.0
comitiva voluntário 1.0
voluntário municipal 1.0
estadual apoia-lo 1.0
órgão independente 1.0
independente rotativo 1.0
rotativo governança 1.0
governança dever 1.0
dever criar 1.0
criar parâmetro 1.0
parâmetro específico 1.0
específico internacional 1.0
internacional avaliar 1.0
avaliar poder 1.0
poder divulgá-los 1.0
divulgá-los rotineiramente 1.0
rotineiramente acreditar 1.0
acreditar existir 1.0
existir mundo 1.0
mundo poder 1.0
poder copiar 1.0
copiar melhorar 1.0
horário gratuito 1.0
gratuito tv 1.0
tv rádio 1.0
rádio internet 1.0
internet dever 1.0
dever divulgar 1.0
divulgar número 2.0
número rotineiramente 1.0
horário político 2.0
político gratuito 1.0
gratuito dever 1.0
dever substituído 1.0
substituído tempo 1.0
tempo divulgação 1.0
divulgação governança 1.0
governança espaço 1.0
espaço publicar 1.0
publicar discussão 1.0
discussão melhoria 1.0
melhoria criado 1.0
coisa diminuir 1.0
diminuir número 1.0
número partido 1.0
dever existir 1.0
existir pré 1.0
pré seleção 1.0
seleção 03 1.0
03 04 1.0
04 partido 1.0
partido oficial 1.0
oficial brasil 1.0
brasil existir 1.0
existir prova 1.0
prova tipo 1.0
tipo vestibular 1.0
vestibular aprovar 1.0
aprovar capaz 1.0
capaz representar 1.0
representar candidato 1.0
candidato apresentar 1.0
apresentar proposto 1.0
proposto através 1.0
através debate 1.0
evento clube 1.0
clube praça 1.0
praça adequado 1.0
adequado manifestação 1.0
manifestação rede 1.0
rede tv 1.0
tv pago 1.0
sociedade possar 1.0
possar ver 1.0
ver entender 1.0
entender ideia 1.0
acabar horário 2.0
político tv 1.0
tv verdadeiro 1.0
verdadeiro piada 1.0
crer forma 1.0
forma vez 1.0
vez avançar 1.0
avançar decisão 1.0
decisão político 1.0
público tomado 1.0
acreditar ideia 1.0
ideia consulto 1.0
sociedade decidir 1.0
decidir especialmente 1.0
especialmente grande 1.0
grande questão 1.0
questão cidade 1.0
alternativamente construir 1.0
construir forma 1.0
forma decisão 1.0
decisão direto 1.0
direto crer 1.0
crer poder 1.0
criar junto 1.0
junto câmara 1.0
câmara municipal 1.0
municipal conselho 1.0
conselho cidadão 1.0
